PENGEMBANGAN PELAYANAN;;;;;;
BULAN : SEPTEMBER 2022;;;;;;
;;;;;;
A. RAWAT JALAN;;;;;;
;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI
LAKI-LAKI LAMA;1672;36;;BLM BEKERJA;57;2
PEREMPUAN LAMA;1145;57;;BURUH;159;0
LAKI-LAKI BARU;62;21;;Mengurus rumah tangga;240;18
PEREMPUAN BARU;73;30;;NELAYAN;0;1
JUMLAH;2952;144;;PEDAGANG;33;0
;;;;PEGAWAI SWASTA;683;31
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;418;47
BPJS NON PBI;648;2;;PENSIUNAN;19;4
BPJS PBI;1295;1;;PETANI;146;2
UMUM;975;141;;PNS;54;16
JAMKESDA JATENG;34;0;;PNS ( POLRI);0;0
BMKS;0;0;;PROFESIONAL/PROFESI;3;1
JUMLAH;2952;144;;PURNAWIRAWAN;0;0
;;;;TIDAK BEKERJA;647;7
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;TNI/ polisi;1;0
BELUM SEKOLAH;9;0;;Wiraswasta/ pengusaha;389;10
TK;127;7;;TIDAK TAHU;103;5
SD;511;12;;;;
SLTP;686;16;;JUMLAH;2952;144
SLTA;1071;54;;;;
SMK;22;0;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI
SLB;8;0;;1 - 14 TAHUN;153;14
TDS;13;0;;15 - 24 TAHUN;401;48
Diploma I;3;0;;25 - 44 TAHUN;1484;28
Diploma II;7;0;;45 - 64 TAHUN;822;36
Diploma III;53;5;;65 TAHUN KE ATAS;92;18
Diploma IV;12;0;;JUMLAH;2952;144
S1;218;43;;;;
S1 PROFESI;1;1;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI
S2;36;1;;ISLAM;2753;113
S3;2;0;;KRISTEN;99;15
TIDAK SEKOLAH;108;2;;BUDHA;4;1
TIDAK TAHU;65;3;;HINDU;4;0
;;;;KATOLIK;87;14
JUMLAH;2952;144;;KONGHUCHU;0;0
;;;;-;5;1
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;
SURAKARTA;518;52;;JUMLAH;2952;144
WONOGIRI;159;10;;;;
SUKOHARJO;522;11;;;;
KARANGANYAR;645;37;;;;
SRAGEN;513;5;;;;
BOYOLALI;209;4;;; ;
KLATEN;44;1;;;;
BLORA;17;0;;;;
GROBOGAN;19;0;;;;
LAIN-LAIN JATENG;52;7;;;;
NGAWI;70;1;;;;
MAGETAN;41;0;;;;
MADIUN;19;0;;;;
PONOROGO;17;1;;;;
PACITAN;15;0;;;;
BOJONEGORO;6;0;;;;
LAIN-LAIN JATIM;19;4;;;;
LAIN-LAIN JATENG JATIM;67;11;;;;
JUMLAH;2952;144;;;;
;;;;;;
;;;;;;
BULAN : SEPTEMBER 2022;;;;;;
B. RAWAT INAP;;;;;;
;;;;;;
CARA PEMBAYARAN;RAWAT INAP;;PEKERJAAN;RAWAT INAP;;
BPJS NON PBI;56;;BLM BEKERJA;10;;
BPJS PBI ;175;;BURUH;14;;
UMUM;25;;Mengurus rumah tangga;0;;
JAMKESDA JATENG;11;;NELAYAN;0;;
BMKS;0;;PEDAGANG;4;;
JUMLAH;267;;PEGAWAI SWASTA;58;;
;;;Pelajar/ mahasiswa;41;;
PENDIDIKAN;RAWAT INAP;;PENSIUNAN;1;;
BELUM SEKOLAH;1;;PETANI;23;;
TK;2;;PNS;3;;
SD;46;;PNS ( POLRI);0;;
SLTP;71;;PROFESIONAL/PROFESI;1;;
SLTA;98;;PURNAWIRAWAN;0;;
SMK;3;;TIDAK BEKERJA;78;;
SLB;0;;TNI/ polisi;1;;
TDS;3;;Wiraswasta/ pengusaha;32;;
Diploma I;0;;TIDAK TAHU;1;;
Diploma II;1;;;0;;
Diploma III;2;;;0;;
Diploma IV;1;;JUMLAH;267;;
S1;10;;;;;
S1 PROFESI;0;;USIA;RAWAT INAP;;
S2;0;;1 - 14 TAHUN;3;;
S3;0;;15 - 24 TAHUN;39;;
TIDAK SEKOLAH;20;;25 - 44 TAHUN;149;;
TIDAK TAHU;9;;45 - 64 TAHUN;69;;
;0;;65 TAHUN KE ATAS;7;;
