PENGEMBANGAN PELAYANAN;;;;;;;;;
BULAN : AGUSTUS 2023;;;;;;;;;
;;;;;;;;;
A. RAWAT JALAN;;;;;;;;;
;;;;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
LAKI-LAKI LAMA;1828;129;;BLM BEKERJA;90;3;;;
PEREMPUAN LAMA;1198;162;;BURUH;155;1;;;
LAKI-LAKI BARU;41;21;;Mengurus rumah tangga;355;70;;;
PEREMPUAN BARU;53;31;;NELAYAN;0;0;;; 
JUMLAH;3120;343;;PEDAGANG;40;2;;;
;;;;PEGAWAI SWASTA;624;59;;;
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;458;63;;;
BPJS NON PBI;732;134;;PENSIUNAN;24;12;;;
BPJS PBI;1404;35;;PETANI;168;3;;;
UMUM;941;172;;PNS;58;67;;;
JAMKESDA JATENG;35;0;;PNS ( POLRI);4;1;;;
NON KUOTA;8;2;;PROFESIONAL/PROFESI;3;7;;;
BANKESOS;0;0;;PURNAWIRAWAN;0;9;;;
JUMLAH;3120;343;;TIDAK BEKERJA;765;16;;;
;;;;TNI/ polisi;3;1;;;
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Wiraswasta/ pengusaha;373;29;;;
BELUM SEKOLAH;52;6;;TIDAK TAHU;0;0;;;
TK;138;5;;;;;;;
SD;532;38;;;;;;;
SLTP;701;26;;JUMLAH;3120;343;;;
SLTA;1110;124;;;;;;;
SMK;38;6;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
SLB;11;1;;1 - 14 TAHUN;229;29;;;
TDS;20;0;;15 - 24 TAHUN;433;61;;;
Diploma I;7;1;;25 - 44 TAHUN;1475;82;;;
Diploma II;10;0;;45 - 64 TAHUN;858;128;;;
Diploma III;64;23;;65 TAHUN KE ATAS;125;43;;;
Diploma IV;8;0;;JUMLAH;3120;343;;;
S1;208;85;;;;;;;
S1 PROFESI;2;0;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
S2;25;8;;ISLAM;2867;309;;;
S3;4;0;;KRISTEN;141;20;;;
TIDAK SEKOLAH;126;10;;BUDHA;8;0;;;
TIDAK TAHU;64;10;;HINDU;3;0;;;
;;;;KATOLIK;98;14;;;
JUMLAH;3120;343;;KONGHUCHU;0;0;;;
;;;;-;3;0;;;
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;;;;
SURAKARTA;589;123;;JUMLAH;3120;343;;;
WONOGIRI;162;12;;;;;;;
SUKOHARJO;532;72;;;;;;;
KARANGANYAR;685;48;;;;;;;
SRAGEN;550;25;;;;;;;
BOYOLALI;192;6;;; ;;;;
KLATEN;49;14;;;;;;;
BLORA;17;0;;;;;;;
GROBOGAN;18;0;;;;;;;
LAIN-LAIN JATENG;53;7;;;;;;;
NGAWI;78;3;;;;;;;
MAGETAN;41;0;;;;;;;
MADIUN;20;2;;;;;;;
PONOROGO;14;3;;;;;;;
PACITAN;25;3;;;;;;;
BOJONEGORO;5;0;;;;;;;
LAIN-LAIN JATIM;22;4;;;;;;;
LAIN-LAIN JATENG JATIM;68;21;;;;;;;
JUMLAH;3120;343;;;;;;;
