PENGEMBANGAN PELAYANAN;;;;;;;;;
BULAN : APRIL 2023;;;;;;;;;
;;;;;;;;;
A. RAWAT JALAN;;;;;;;;;
;;;;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
LAKI-LAKI LAMA;1602;77;;BLM BEKERJA;57;0;;;
PEREMPUAN LAMA;1069;93;;BURUH;145;1;;;
LAKI-LAKI BARU;289;16;;Mengurus rumah tangga;222;32;;;
PEREMPUAN BARU;562;24;;NELAYAN;0;0;;; 
JUMLAH;3522;210;;PEDAGANG;34;1;;;
;;;;PEGAWAI SWASTA;1364;44;;;
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;390;40;;;
BPJS NON PBI;592;72;;PENSIUNAN;29;14;;;
BPJS PBI;1275;28;;PETANI;127;1;;;
UMUM;1612;108;;PNS;57;24;;;
JAMKESDA JATENG;38;0;;PNS ( POLRI);4;0;;;
NON KUOTA;5;2;;PROFESIONAL/PROFESI;9;5;;;
JUMLAH;3522;210;;PURNAWIRAWAN;0;7;;;
;;;;TIDAK BEKERJA;596;12;;;
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;TNI/ polisi;2;1;;;
BELUM SEKOLAH;24;1;;Wiraswasta/ pengusaha;366;24;;;
TK;106;3;;TIDAK TAHU;120;4;;;
SD;466;12;;;;;;;
SLTP;621;19;;JUMLAH;3522;210;;;
SLTA;999;73;;;;;;;
SMK;29;1;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
SLB;11;0;;1 - 14 TAHUN;171;11;;;
TDS;18;1;;15 - 24 TAHUN;369;32;;;
Diploma I;7;0;;25 - 44 TAHUN;2038;54;;;
Diploma II;7;1;;45 - 64 TAHUN;846;85;;;
Diploma III;67;23;;65 TAHUN KE ATAS;98;28;;;
Diploma IV;5;0;;JUMLAH;3522;210;;;
S1;939;54;;;;;;;
S1 PROFESI;13;0;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
S2;33;9;;ISLAM;3279;178;;;
S3;2;1;;KRISTEN;127;23;;;
TIDAK SEKOLAH;110;1;;BUDHA;12;0;;;
TIDAK TAHU;65;11;;HINDU;4;1;;;
;;;;KATOLIK;86;8;;;
JUMLAH;3522;210;;KONGHUCHU;0;0;;;
;;;;-;14;0;;;
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;;;;
SURAKARTA;565;51;;JUMLAH;3522;210;;;
WONOGIRI;143;1;;;;;;;
SUKOHARJO;602;49;;;;;;;
KARANGANYAR;758;53;;;;;;;
SRAGEN;671;11;;;;;;;
BOYOLALI;171;1;;; ;;;;
KLATEN;58;8;;;;;;;
BLORA;19;0;;;;;;;
GROBOGAN;252;2;;;;;;;
LAIN-LAIN JATENG;50;10;;;;;;;
NGAWI;72;0;;;;;;;
MAGETAN;36;0;;;;;;;
MADIUN;11;6;;;;;;;
PONOROGO;8;3;;;;;;;
PACITAN;16;0;;;;;;;
BOJONEGORO;6;0;;;;;;;
LAIN-LAIN JATIM;18;1;;;;;;;
LAIN-LAIN JATENG JATIM;66;14;;;;;;;
JUMLAH;3522;210;;;;;;;
