PENGEMBANGAN PELAYANAN;;;;;;
BULAN : FEBRUARI 2023;;;;;;
;;;;;;
A. RAWAT JALAN;;;;;;
;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI
LAKI-LAKI LAMA;1666;81;;BLM BEKERJA;66;3
PEREMPUAN LAMA;1080;104;;BURUH;142;3
LAKI-LAKI BARU;57;22;;Mengurus rumah tangga;234;34
PEREMPUAN BARU;99;39;;NELAYAN;0;0
JUMLAH;2902;246;;PEDAGANG;34;2
;;;;PEGAWAI SWASTA;630;47
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;439;51
BPJS NON PBI;653;66;;PENSIUNAN;19;4
BPJS PBI;1279;31;;PETANI;135;10
UMUM;928;149;;PNS;69;22
JAMKESDA JATENG;34;0;;PNS ( POLRI);5;0
NON KUOTA;8;0;;PROFESIONAL/PROFESI;14;2
JUMLAH;2902;246;;PURNAWIRAWAN;0;3
;;;;TIDAK BEKERJA;622;24
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;TNI/ polisi;7;0
BELUM SEKOLAH;23;1;;Wiraswasta/ pengusaha;351;29
TK;152;6;;TIDAK TAHU;135;12
SD;478;25;;;;
SLTP;633;25;;JUMLAH;2902;246
SLTA;1032;91;;;;
SMK;23;4;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI
SLB;7;0;;1 - 14 TAHUN;242;20
TDS;19;0;;15 - 24 TAHUN;412;48
Diploma I;8;0;;25 - 44 TAHUN;1383;72
Diploma II;7;0;;45 - 64 TAHUN;772;82
Diploma III;70;22;;65 TAHUN KE ATAS;93;24
Diploma IV;6;0;;JUMLAH;2902;246
S1;206;48;;;;
S1 PROFESI;3;2;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI
S2;42;6;;ISLAM;2680;201
S3;6;0;;KRISTEN;116;20
TIDAK SEKOLAH;117;7;;BUDHA;11;0
TIDAK TAHU;70;9;;HINDU;3;0
;;;;KATOLIK;90;25
JUMLAH;2902;246;;KONGHUCHU;0;0
;;;;-;2;0
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;
SURAKARTA;560;78;;JUMLAH;2902;246
WONOGIRI;151;4;;;;
SUKOHARJO;541;25;;;;
KARANGANYAR;560;62;;;;
SRAGEN;506;13;;;;
BOYOLALI;168;7;;; ;
KLATEN;50;11;;;;
BLORA;18;0;;;;
GROBOGAN;18;2;;;;
LAIN-LAIN JATENG;60;8;;;;
NGAWI;63;3;;;;
MAGETAN;41;1;;;;
MADIUN;19;5;;;;
PONOROGO;12;2;;;;
PACITAN;16;1;;;;
BOJONEGORO;9;1;;;;
LAIN-LAIN JATIM;28;7;;;;
LAIN-LAIN JATENG JATIM;82;16;;;;
JUMLAH;2902;246;;;;
