PENGEMBANGAN PELAYANAN;;;;;;
BULAN : JANUARI 2023;;;;;;
;;;;;;
A. RAWAT JALAN;;;;;;
;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI
LAKI-LAKI LAMA;1748;84;;BLM BEKERJA;67;4
PEREMPUAN LAMA;1172;94;;BURUH;151;1
LAKI-LAKI BARU;84;28;;Mengurus rumah tangga;271;25
PEREMPUAN BARU;119;45;;NELAYAN;0;0
JUMLAH;3123;251;;PEDAGANG;42;5
;;;;PEGAWAI SWASTA;713;43
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;446;55
BPJS NON PBI;678;33;;PENSIUNAN;21;5
BPJS PBI;1363;34;;PETANI;140;14
UMUM;1046;184;;PNS;86;21
JAMKESDA JATENG;32;0;;PNS ( POLRI);4;0
NON KUOTA;4;0;;PROFESIONAL/PROFESI;16;1
JUMLAH;3123;251;;PURNAWIRAWAN;0;1
;;;;TIDAK BEKERJA;666;25
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;TNI/ polisi;4;2
BELUM SEKOLAH;16;3;;Wiraswasta/ pengusaha;364;31
TK;154;5;;TIDAK TAHU;132;18
SD;542;25;;;;
SLTP;659;46;;JUMLAH;3123;251
SLTA;1083;68;;;;
SMK;30;1;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI
SLB;13;1;;1 - 14 TAHUN;217;28
TDS;13;0;;15 - 24 TAHUN;412;48
Diploma I;7;1;;25 - 44 TAHUN;1529;57
Diploma II;8;0;;45 - 64 TAHUN;856;99
Diploma III;118;19;;65 TAHUN KE ATAS;109;19
Diploma IV;15;2;;JUMLAH;3123;251
S1;216;48;;;;
S1 PROFESI;5;0;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI
S2;34;9;;ISLAM;2884;206
S3;3;0;;KRISTEN;126;19
TIDAK SEKOLAH;142;8;;BUDHA;12;0
TIDAK TAHU;65;15;;HINDU;3;1
;;;;KATOLIK;92;25
JUMLAH;3123;251;;KONGHUCHU;0;0
;;;;-;6;0
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;
SURAKARTA;605;57;;JUMLAH;3123;251
WONOGIRI;164;3;;;;
SUKOHARJO;538;43;;;;
KARANGANYAR;642;71;;;;
SRAGEN;544;12;;;;
BOYOLALI;220;6;;; ;
KLATEN;53;9;;;;
BLORA;14;0;;;;
GROBOGAN;17;2;;;;
LAIN-LAIN JATENG;54;9;;;;
NGAWI;73;2;;;;
MAGETAN;42;0;;;;
MADIUN;21;2;;;;
PONOROGO;19;2;;;;
PACITAN;6;0;;;;
BOJONEGORO;3;0;;;;
LAIN-LAIN JATIM;38;8;;;;
LAIN-LAIN JATENG JATIM;70;25;;;;
JUMLAH;3123;251;;;;
