PENGEMBANGAN PELAYANAN;;;;;;;;;
BULAN : JULI 2023;;;;;;;;;
;;;;;;;;;
A. RAWAT JALAN;;;;;;;;;
;;;;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
LAKI-LAKI LAMA;1830;109;;BLM BEKERJA;78;5;;;
PEREMPUAN LAMA;1211;154;;BURUH;161;1;;;
LAKI-LAKI BARU;42;26;;Mengurus rumah tangga;237;41;;;
PEREMPUAN BARU;80;48;;NELAYAN;0;0;;; 
JUMLAH;3163;337;;PEDAGANG;37;2;;;
;;;;PEGAWAI SWASTA;655;65;;;
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;487;85;;;
BPJS NON PBI;742;126;;PENSIUNAN;21;17;;;
BPJS PBI;1370;34;;PETANI;176;1;;;
UMUM;1009;177;;PNS;78;21;;;
JAMKESDA JATENG;36;0;;PNS ( POLRI);4;0;;;
NON KUOTA;5;0;;PROFESIONAL/PROFESI;6;5;;;
BANKESOS;1;0;;PURNAWIRAWAN;0;9;;;
JUMLAH;3163;337;;TIDAK BEKERJA;728;21;;;
;;;;TNI/ polisi;3;0;;;
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Wiraswasta/ pengusaha;398;50;;;
BELUM SEKOLAH;38;4;;TIDAK TAHU;94;14;;;
TK;149;7;;;;;;;
SD;558;49;;;;;;;
SLTP;670;38;;JUMLAH;3163;337;;;
SLTA;1125;116;;;;;;;
SMK;44;3;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
SLB;9;2;;1 - 14 TAHUN;216;33;;;
TDS;19;0;;15 - 24 TAHUN;462;76;;;
Diploma I;8;1;;25 - 44 TAHUN;1497;77;;;
Diploma II;7;0;;45 - 64 TAHUN;864;95;;;
Diploma III;61;17;;65 TAHUN KE ATAS;124;56;;;
Diploma IV;4;0;;JUMLAH;3163;337;;;
S1;245;72;;;;;;;
S1 PROFESI;4;1;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
S2;28;4;;ISLAM;2895;296;;;
S3;3;1;;KRISTEN;163;30;;;
TIDAK SEKOLAH;126;9;;BUDHA;11;0;;;
TIDAK TAHU;65;13;;HINDU;2;1;;;
;;;;KATOLIK;87;9;;;
JUMLAH;3163;337;;KONGHUCHU;0;0;;;
;;;;-;5;1;;;
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;;;;
SURAKARTA;613;83;;JUMLAH;3163;337;;;
WONOGIRI;162;6;;;;;;;
SUKOHARJO;540;93;;;;;;;
KARANGANYAR;675;68;;;;;;;
SRAGEN;533;20;;;;;;;
BOYOLALI;201;4;;; ;;;;
KLATEN;50;10;;;;;;;
BLORA;15;0;;;;;;;
GROBOGAN;25;0;;;;;;;
LAIN-LAIN JATENG;55;8;;;;;;;
NGAWI;82;3;;;;;;;
MAGETAN;45;0;;;;;;;
MADIUN;17;2;;;;;;;
PONOROGO;15;2;;;;;;;
PACITAN;19;3;;;;;;;
BOJONEGORO;6;1;;;;;;;
LAIN-LAIN JATIM;24;4;;;;;;;
LAIN-LAIN JATENG JATIM;86;30;;;;;;;
JUMLAH;3163;337;;;;;;;
