PENGEMBANGAN PELAYANAN;;;;;;
BULAN : MARET 2023;;;;;;
;;;;;;
A. RAWAT JALAN;;;;;;
;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI
LAKI-LAKI LAMA;1835;109;;BLM BEKERJA;92;1
PEREMPUAN LAMA;1263;123;;BURUH;152;3
LAKI-LAKI BARU;43;20;;Mengurus rumah tangga;261;37
PEREMPUAN BARU;57;49;;NELAYAN;0;0
JUMLAH;3198;301;;PEDAGANG;40;1
;;;;PEGAWAI SWASTA;715;61
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;461;69
BPJS NON PBI;733;84;;PENSIUNAN;22;19
BPJS PBI;1424;34;;PETANI;151;6
UMUM;989;182;;PNS;65;34
JAMKESDA JATENG;43;0;;PNS ( POLRI);5;0
NON KUOTA;9;1;;PROFESIONAL/PROFESI;8;0
JUMLAH;3198;301;;PURNAWIRAWAN;0;9
;;;;TIDAK BEKERJA;703;19
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;TNI/ polisi;2;0
BELUM SEKOLAH;22;2;;Wiraswasta/ pengusaha;378;27
TK;135;4;;TIDAK TAHU;143;15
SD;552;22;;;;
SLTP;693;32;;JUMLAH;3198;301
SLTA;1138;109;;;;
SMK;32;5;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI
SLB;7;1;;1 - 14 TAHUN;232;17
TDS;22;0;;15 - 24 TAHUN;428;81
Diploma I;10;1;;25 - 44 TAHUN;1555;58
Diploma II;8;6;;45 - 64 TAHUN;871;106
Diploma III;74;28;;65 TAHUN KE ATAS;112;39
Diploma IV;6;0;;JUMLAH;3198;301
S1;228;55;;;;
S1 PROFESI;4;0;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI
S2;26;9;;ISLAM;2956;262
S3;15;0;;KRISTEN;135;24
TIDAK SEKOLAH;139;3;;BUDHA;8;0
TIDAK TAHU;87;24;;HINDU;4;1
;;;;KATOLIK;92;14
JUMLAH;3198;301;;KONGHUCHU;0;0
;;;;-;3;0
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;
SURAKARTA;586;77;;JUMLAH;3198;301
WONOGIRI;174;2;;;;
SUKOHARJO;564;68;;;;
KARANGANYAR;651;68;;;;
SRAGEN;559;21;;;;
BOYOLALI;208;11;;; ;
KLATEN;56;8;;;;
BLORA;23;1;;;;
GROBOGAN;21;1;;;;
LAIN-LAIN JATENG;69;10;;;;
NGAWI;73;0;;;;
MAGETAN;40;0;;;;
MADIUN;14;1;;;;
PONOROGO;14;1;;;;
PACITAN;15;2;;;;
BOJONEGORO;11;1;;;;
LAIN-LAIN JATIM;26;10;;;;
LAIN-LAIN JATENG JATIM;94;19;;;;
JUMLAH;3198;301;;;;
