PENGEMBANGAN PELAYANAN;;;;;;;;;
BULAN : MEI 2023;;;;;;;;;
;;;;;;;;;
A. RAWAT JALAN;;;;;;;;;
;;;;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
LAKI-LAKI LAMA;1983;133;;BLM BEKERJA;83;0;;;
PEREMPUAN LAMA;1275;159;;BURUH;178;7;;;
LAKI-LAKI BARU;120;32;;Mengurus rumah tangga;271;41;;;
PEREMPUAN BARU;98;64;;NELAYAN;0;0;;; 
JUMLAH;3476;388;;PEDAGANG;43;5;;;
;;;;PEGAWAI SWASTA;820;100;;;
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;475;69;;;
BPJS NON PBI;775;125;;PENSIUNAN;31;4;;;
BPJS PBI;1469;35;;PETANI;163;3;;;
UMUM;1192;228;;PNS;80;42;;;
JAMKESDA JATENG;37;0;;PNS ( POLRI);6;0;;;
NON KUOTA;3;0;;PROFESIONAL/PROFESI;5;9;;;
JUMLAH;3476;388;;PURNAWIRAWAN;0;6;;;
;;;;TIDAK BEKERJA;744;21;;;
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;TNI/ polisi;3;0;;;
BELUM SEKOLAH;27;1;;Wiraswasta/ pengusaha;447;70;;;
TK;140;5;;TIDAK TAHU;127;11;;;
SD;595;14;;;;;;;
SLTP;716;27;;JUMLAH;3476;388;;;
SLTA;1203;179;;;;;;;
SMK;44;1;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
SLB;12;1;;1 - 14 TAHUN;218;15;;;
TDS;17;1;;15 - 24 TAHUN;439;59;;;
Diploma I;7;0;;25 - 44 TAHUN;1736;97;;;
Diploma II;11;2;;45 - 64 TAHUN;962;162;;;
Diploma III;94;16;;65 TAHUN KE ATAS;121;55;;;
Diploma IV;6;1;;JUMLAH;3476;388;;;
S1;337;102;;;;;;;
S1 PROFESI;2;3;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
S2;55;20;;ISLAM;3207;327;;;
S3;2;0;;KRISTEN;134;47;;;
TIDAK SEKOLAH;139;0;;BUDHA;12;1;;;
TIDAK TAHU;69;15;;HINDU;6;0;;;
;;;;KATOLIK;101;9;;;
JUMLAH;3476;388;;KONGHUCHU;0;1;;;
;;;;-;16;3;;;
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;;;;
SURAKARTA;665;144;;JUMLAH;3476;388;;;
WONOGIRI;190;6;;;;;;;
SUKOHARJO;599;86;;;;;;;
KARANGANYAR;725;68;;;;;;;
SRAGEN;617;17;;;;;;;
BOYOLALI;212;13;;; ;;;;
KLATEN;63;10;;;;;;;
BLORA;17;0;;;;;;;
GROBOGAN;12;0;;;;;;;
LAIN-LAIN JATENG;71;12;;;;;;;
NGAWI;76;3;;;;;;;
MAGETAN;46;0;;;;;;;
MADIUN;15;2;;;;;;;
PONOROGO;16;6;;;;;;;
PACITAN;20;3;;;;;;;
BOJONEGORO;8;1;;;;;;;
LAIN-LAIN JATIM;27;2;;;;;;;
LAIN-LAIN JATENG JATIM;97;15;;;;;;;
JUMLAH;3476;388;;;;;;;
