PENGEMBANGAN PELAYANAN;;;;;;
BULAN : NOVEMBER 2022;;;;;;
;;;;;;
A. RAWAT JALAN;;;;;;
;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI
LAKI-LAKI LAMA;1705;54;;BLM BEKERJA;75;3
PEREMPUAN LAMA;1184;64;;BURUH;149;2
LAKI-LAKI BARU;49;13;;Mengurus rumah tangga;239;7
PEREMPUAN BARU;76;21;;NELAYAN;1;0
JUMLAH;3014;152;;PEDAGANG;38;2
;;;;PEGAWAI SWASTA;697;40
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;456;40
BPJS NON PBI;655;12;;PENSIUNAN;24;8
BPJS PBI;1293;1;;PETANI;150;3
UMUM;1037;139;;PNS;55;21
JAMKESDA JATENG;29;0;;PNS ( POLRI);3;0
BMKS;0;0;;PROFESIONAL/PROFESI;3;1
JUMLAH;3014;152;;PURNAWIRAWAN;0;0
;;;;TIDAK BEKERJA;648;1
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;TNI/ polisi;1;0
BELUM SEKOLAH;15;3;;Wiraswasta/ pengusaha;364;19
TK;134;6;;TIDAK TAHU;111;5
SD;531;7;;;;
SLTP;668;12;;JUMLAH;3014;152
SLTA;1093;53;;;;
SMK;27;0;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI
SLB;8;1;;1 - 14 TAHUN;178;13
TDS;20;0;;15 - 24 TAHUN;449;35
Diploma I;5;0;;25 - 44 TAHUN;1481;26
Diploma II;9;0;;45 - 64 TAHUN;804;66
Diploma III;64;13;;65 TAHUN KE ATAS;102;12
Diploma IV;6;0;;JUMLAH;3014;152
S1;207;46;;;;
S1 PROFESI;4;0;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI
S2;36;2;;ISLAM;2783;124
S3;6;1;;KRISTEN;116;15
TIDAK SEKOLAH;129;3;;BUDHA;7;0
TIDAK TAHU;52;5;;HINDU;3;0
;;;;KATOLIK;100;13
JUMLAH;3014;152;;KONGHUCHU;0;0
;;;;-;5;0
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;
SURAKARTA;570;34;;JUMLAH;3014;152
WONOGIRI;161;8;;;;
SUKOHARJO;532;29;;;;
KARANGANYAR;614;35;;;;
SRAGEN;509;10;;;;
BOYOLALI;203;6;;; ;
KLATEN;40;2;;;;
BLORA;12;0;;;;
GROBOGAN;22;1;;;;
LAIN-LAIN JATENG;58;4;;;;
NGAWI;72;2;;;;
MAGETAN;39;1;;;;
MADIUN;21;0;;;;
PONOROGO;20;1;;;;
PACITAN;15;0;;;;
BOJONEGORO;5;0;;;;
LAIN-LAIN JATIM;29;5;;;;
LAIN-LAIN JATENG JATIM;92;14;;;;
JUMLAH;3014;152;;;;
