PENGEMBANGAN PELAYANAN;;;;;;;;;
BULAN : SEPTEMBER 2023;;;;;;;;;
;;;;;;;;;
A. RAWAT JALAN;;;;;;;;;
;;;;;;;;;
PENGUNJUNG;POLI PSIKIATRI;POLI NON PSIKIATRI;;PEKERJAAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
LAKI-LAKI LAMA;1719;147;;BLM BEKERJA;102;10;;;
PEREMPUAN LAMA;1149;153;;BURUH;147;2;;;
LAKI-LAKI BARU;71;34;;Mengurus rumah tangga;250;33;;;
PEREMPUAN BARU;58;53;;NELAYAN;0;0;;; 
JUMLAH;2997;387;;PEDAGANG;38;8;;;
;;;;PEGAWAI SWASTA;662;64;;;
CARA PEMBAYARAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Pelajar/ mahasiswa;409;73;;;
BPJS NON PBI;701;168;;PENSIUNAN;25;9;;;
BPJS PBI;1341;37;;PETANI;144;25;;;
UMUM;914;182;;PNS;53;61;;;
JAMKESDA JATENG;35;0;;PNS ( POLRI);2;0;;;
NON KUOTA;6;0;;PROFESIONAL/PROFESI;3;0;;;
BANKESOS;0;0;;PURNAWIRAWAN;0;7;;;
JUMLAH;2997;387;;TIDAK BEKERJA;697;32;;;
;;;;TNI/ polisi;4;0;;;
PENDIDIKAN;POLI PSIKIATRI;POLI NON PSIKIATRI;;Wiraswasta/ pengusaha;354;56;;;
BELUM SEKOLAH;42;4;;TIDAK TAHU;107;7;;;
TK;116;8;;;;;;;
SD;504;46;;;;;;;
SLTP;635;41;;JUMLAH;2997;387;;;
SLTA;1060;148;;;;;;;
SMK;32;2;;USIA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
SLB;8;1;;1 - 14 TAHUN;190;23;;;
TDS;20;0;;15 - 24 TAHUN;416;71;;;
Diploma I;7;1;;25 - 44 TAHUN;1477;88;;;
Diploma II;10;0;;45 - 64 TAHUN;808;154;;;
Diploma III;78;20;;65 TAHUN KE ATAS;106;51;;;
Diploma IV;10;0;;JUMLAH;2997;387;;;
S1;251;83;;;;;;;
S1 PROFESI;2;0;;AGAMA;POLI PSIKIATRI;POLI NON PSIKIATRI;;;
S2;30;19;;ISLAM;2743;331;;;
S3;3;0;;KRISTEN;145;35;;;
TIDAK SEKOLAH;114;12;;BUDHA;12;0;;;
TIDAK TAHU;75;2;;HINDU;3;0;;;
;;;;KATOLIK;92;21;;;
JUMLAH;2997;387;;KONGHUCHU;0;0;;;
;;;;-;2;0;;;
ASAL DAERAH;POLI PSIKIATRI;POLI NON PSIKIATRI;;;;;;;
SURAKARTA;596;107;;JUMLAH;2997;387;;;
WONOGIRI;161;11;;;;;;;
SUKOHARJO;502;94;;;;;;;
KARANGANYAR;632;58;;;;;;;
SRAGEN;521;27;;;;;;;
BOYOLALI;192;6;;; ;;;;
KLATEN;47;22;;;;;;;
BLORA;19;0;;;;;;;
GROBOGAN;21;0;;;;;;;
LAIN-LAIN JATENG;54;8;;;;;;;
NGAWI;62;9;;;;;;;
MAGETAN;34;16;;;;;;;
MADIUN;18;0;;;;;;;
PONOROGO;13;7;;;;;;;
PACITAN;18;1;;;;;;;
BOJONEGORO;5;0;;;;;;;
LAIN-LAIN JATIM;27;2;;;;;;;
LAIN-LAIN JATENG JATIM;75;19;;;;;;;
JUMLAH;2997;387;;;;;;;
